POSITION;NUMBER;TEAM;DRIVER_1;DRIVER_2;DRIVER_3;DRIVER_4;VEHICLE;TYRES;CLASS;GROUP;DIVISION;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;
24;41;Greaves Motorsport;Tom KIMBER-SMITH;Eric LUX;Alexander ROSSI;;Zytek Z11SN - Nissan;D;LMP2;;LMP2;Classified;307;24:01'29.272;41 Laps;2 Laps;251;3'39.615;223.4;
25;53;SRT Motorsports;Ryan DALZIEL;Dominik FARNBACHER;Marc GOOSSENS;;Viper GTS-R;M;LMGTE Pro;;LMGTE Pro;Classified;306;24:01'31.642;42 Laps;1 Laps;283;3'57.460;206.6;
26;76;IMSA Performance Matmut;Raymond NARAC;Christophe BOURRET;Jean-Karl VERNAY;;Porsche 911 GT3 RSR;M;LMGTE Am;;LMGTE Am;Classified;306;24:03'22.944;42 Laps;1'51.302;217;3'59.057;205.2;
27;55;AF Corse;Piergiuseppe PERAZZINI;Lorenzo CASE;Darryl O'YOUNG;;Ferrari 458 Italia;M;LMGTE Am;;LMGTE Am;Classified;305;24:01'28.294;43 Laps;1 Laps;262;4'00.227;204.2;
28;61;AF Corse;Jack GERBER;Matt GRIFFIN;Marco CIOCI;;Ferrari 458 Italia;M;LMGTE Am;;LMGTE Am;Classified;305;24:02'54.801;43 Laps;1'26.507;279;3'58.365;205.8;
29;77;Dempsey Del Piero-Proton;Patrick DEMPSEY;Joe FOSTER;Patrick LONG;;Porsche 911 GT3 RSR;M;LMGTE Am;;LMGTE Am;Classified;305;24:04'19.408;43 Laps;1'24.607;288;3'57.990;206.2;
30;50;Larbre Competition;Patrick BORNHAUSER;Julien CANAL;Ricky TAYLOR;;Chevrolet Corvette C6-ZR1;M;LMGTE Am;;LMGTE Am;Classified;302;24:02'46.017;46 Laps;3 Laps;247;4'01.863;202.9;
31;96;Aston Martin Racing;Jamie CAMPBELL-WALTER;Roald GOETHE;Stuart HALL;;Aston Martin Vantage V8;M;LMGTE Am;;LMGTE Am;Classified;301;24:01'16.989;47 Laps;1 Laps;285;3'59.091;205.2;
32;93;SRT Motorsports;Jonathan BOMARITO;Tommy KENDALL;Kuno WITTMER;;Viper GTS-R;M;LMGTE Pro;;LMGTE Pro;Classified;301;24:03'15.588;47 Laps;1'58.599;232;3'59.006;205.3;
33;40;Boutsen Ginion Racing;Matt DOWNS;Thomas DAGONEAU;Rodin YOUNESSI;;Oreca 03 - Nissan;D;LMP2;;LMP2;Classified;300;24:02'50.871;48 Laps;1 Laps;277;3'51.191;212.2;
34;67;IMSA Performance Matmut;Pascal GIBON;Patrice MILESI;Wolf HENZLER;;Porsche 911 GT3 RSR;M;LMGTE Am;;LMGTE Am;Classified;300;24:03'23.219;48 Laps;32.348;255;4'00.154;204.3;
35;66;JMW Motorsport;Andrea BERTOLINI;Abdulaziz Turki AL FAISAL;Khaled AL QUBAISI;;Ferrari 458 Italia;D;LMGTE Pro;;LMGTE Pro;Classified;300;24:03'42.636;48 Laps;19.417;248;4'00.056;204.4;
36;88;Proton Competition;Christian RIED;Gianluca RODA;Paolo RUBERTI;;Porsche 911 GT3 RSR;M;LMGTE Am;;LMGTE Am;Classified;300;24:04'19.510;48 Laps;36.874;276;3'58.585;205.6;
37;75;Prospeed Racing;Emmanuel COLLARD;François PERRODO;Sébastien CRUBILE;;Porsche 911 GT3 RSR;M;LMGTE Am;;LMGTE Am;Classified;298;24:03'41.164;50 Laps;2 Laps;110;4'03.071;201.9;
38;81;8 Star Motorsports;Vicente POTOLICCHIO;Rui AGUAS;Jason BRIGHT;;Ferrari 458 Italia;M;LMGTE Am;;LMGTE Am;Classified;294;24:01'48.484;54 Laps;4 Laps;280;3'57.422;206.7;
39;39;DKR Engineering;Olivier PORTA;Stéphane RAFFIN;Romain BRANDELA;;Lola B11/40 - Judd;D;LMP2;;LMP2;Classified;280;24:01'42.300;68 Laps;14 Laps;267;3'53.019;210.6;
40;12;Rebellion Racing;Nicolas PROST;Neel JANI;Nick HEIDFELD;;Lola B12/60 Coupé - Toyota;M;LMP1;;LMP1 PRIVATE;Classified;275;24:01'24.787;73 Laps;5 Laps;88;3'29.328;234.4;
41;13;Rebellion Racing;Andrea BELICCHI;Mathias BECHE;Cong Fu CHENG;;Lola B12/60 Coupé - Toyota;M;LMP1;;LMP1 PRIVATE;Classified;275;24:02'51.807;73 Laps;1'27.020;95;3'31.808;231.6;
42;70;Larbre Competition;Cooper MacNEIL;Manuel RODRIGUES;Philippe DUMAS;;Chevrolet Corvette C6-ZR1;M;LMGTE Am;;LMGTE Am;Classified;268;24:04'40.264;80 Laps;7 Laps;228;4'01.188;203.4;
43;33;Level 5 Motorsports;Scott TUCKER;Marino FRANCHITTI;Ryan BRISCOE;;HPD ARX 03b - Honda;M;LMP2;;LMP2;Not classified;242;24:03'01.273;106 Laps;26 Laps;152;3'42.639;220.4;
44;46;Thiriet by TDS Racing;Pierre THIRIET;Ludovic BADEY;Maxime MARTIN;;Oreca 03 - Nissan;D;LMP2;;LMP2;Retired;310;22:43'36.452;38 Laps;-68 Laps;224;3'42.207;220.8;
45;99;Aston Martin Racing;Rob BELL;Frédéric MAKOWIECKI;Bruno SENNA;;Aston Martin Vantage V8;M;LMGTE Pro;;LMGTE Pro;Retired;248;18:49'09.486;100 Laps;62 Laps;55;3'54.639;209.1;
46;45;OAK Racing;Jacques NICOLET;Jean-Marc MERLIN;Philippe MONDOLOT;;Morgan - Nissan;D;LMP2;;LMP2;Retired;246;20:38'57.979;102 Laps;2 Laps;16;3'51.029;212.4;
47;47;KCMG;Alexander IMPERATORI;Ho-Pin TUNG;Matthew HOWSON;;Morgan - Nissan;M;LMP2;;LMP2;Retired;241;18:19'07.796;107 Laps;5 Laps;227;3'42.285;220.7;
48;98;Aston Martin Racing;Bill AUBERLEN;Paul DALLA LANA;Pedro LAMY;;Aston Martin Vantage V8;M;LMGTE Pro;;LMGTE Pro;Retired;221;17:02'41.511;127 Laps;20 Laps;95;3'56.556;207.4;
49;32;Lotus;Thomas HOLZER;Dominik KRAIHAMER;Jan CHAROUZ;;Lotus T128;D;LMP2;;LMP2;Retired;219;16:36'42.745;129 Laps;2 Laps;82;3'43.389;219.6;
50;30;HVM Status GP;Johnny MOWLEM;Tony BURGESS;Jonathan HIRSCHI;;Lola B12/80 Coupé - Judd;D;LMP2;;LMP2;Retired;153;11:14'02.916;195 Laps;66 Laps;88;3'48.258;215.0;
51;54;AF Corse;Yannick MALLEGOL;Jean-Marc BACHELIER;Howard BLANK;;Ferrari 458 Italia;M;LMGTE Am;;LMGTE Am;Retired;147;12:00'40.254;201 Laps;6 Laps;15;4'08.616;197.4;
52;57;Krohn Racing;Tracy KROHN;Niclas JÖNSSON;Maurizio MEDIANI;;Ferrari 458 Italia;M;LMGTE Am;;LMGTE Am;Retired;111;8:49'03.126;237 Laps;36 Laps;14;4'03.651;201.4;
53;25;Delta-ADR;Tor GRAVES;Shinji NAKANO;Archie HAMILTON;;Oreca 03 - Nissan;D;LMP2;;LMP2;Retired;101;7:45'37.653;247 Laps;10 Laps;93;3'43.064;220.0;
54;28;Gulf Racing Middle East;Fabien GIROIX;Philippe HAEZEBROUCK;Keiko IHARA;;Lola B12/80 Coupé - Nissan;D;LMP2;;LMP2;Retired;22;10:24'51.435;326 Laps;79 Laps;12;3'53.188;210.4;
55;31;Lotus;Kevin WEEDA;James ROSSITER;Christophe BOUCHUT;;Lotus T128;D;LMP2;;LMP2;Retired;17;2:03'34.343;331 Laps;5 Laps;2;3'53.344;210.3;
56;95;Aston Martin Racing; .  .;.. ..;... ...;;Aston Martin Vantage V8;M;LMGTE Am;;LMGTE Am;Retired;2;8'20.731;346 Laps;15 Laps;2;4'00.626;203.9;
