POSITION;NUMBER;TEAM;DRIVER_1;DRIVER_2;DRIVER_3;DRIVER_4;VEHICLE;TYRES;CLASS;GROUP;DIVISION;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;
1;2;Audi Sport Team Joest;Tom KRISTENSEN;Loïc DUVAL;Allan McNISH;;Audi R18 e-tron quattro;M;LMP1;;;Classified;348;24:01'16.436;;;86;3'23.269;241.4;
2;8;Toyota Racing;Anthony DAVIDSON;Sébastien BUEMI;Stéphane SARRAZIN;;Toyota TS030 - Hybrid;M;LMP1;;;Classified;347;24:01'16.909;1 Laps;1 Laps;13;3'25.151;239.2;
3;3;Audi Sport Team Joest;Marc GENÉ;Lucas DI GRASSI;Oliver JARVIS;;Audi R18 e-tron quattro;M;LMP1;;;Classified;347;24:03'12.161;1 Laps;1'55.252;89;3'24.293;240.2;
4;7;Toyota Racing;Alexander WURZ;Nicolas LAPIERRE;Kazuki NAKAJIMA;;Toyota TS030 - Hybrid;M;LMP1;;;Classified;341;24:01'39.045;7 Laps;6 Laps;306;3'25.718;238.5;
5;1;Audi Sport Team Joest;André LOTTERER;Marcel FÄSSLER;Benoit TRÉLUYER;;Audi R18 e-tron quattro;M;LMP1;;;Classified;338;24:01'18.280;10 Laps;3 Laps;170;3'22.746;242.0;
6;21;Strakka Racing;Nick LEVENTIS;Danny WATTS;Jonny KANE;;HPD ARX 03c - Honda;M;LMP1;;LMP1 PRIVATE;Classified;332;24:02'16.225;16 Laps;6 Laps;218;3'30.884;232.7;
7;35;OAK Racing;Bertrand BAGUETTE;Ricardo GONZALEZ;Martin PLOWMAN;;Morgan - Nissan;D;LMP2;;LMP2;Classified;329;24:03'27.293;19 Laps;3 Laps;221;3'40.272;222.7;
8;24;OAK Racing;Olivier PLA;David HEINEMEIER HANSSON;Alex BRUNDLE;;Morgan - Nissan;D;LMP2;;LMP2;Classified;328;24:01'33.122;20 Laps;1 Laps;310;3'38.059;225.0;
9;26;G-Drive Racing;Roman RUSINOV;John MARTIN;Mike CONWAY;;Oreca 03 - Nissan;D;LMP2;;LMP2;Classified;327;24:01'26.857;21 Laps;1 Laps;218;3'38.807;224.2;
10;42;Greaves Motorsport;Jann MARDENBOROUGH;Lucas ORDOÑEZ;Michael KRUMM;;Zytek Z11SN - Nissan;D;LMP2;;LMP2;Classified;327;24:02'33.932;21 Laps;1'07.075;299;3'40.100;222.9;
11;49;Pecom Racing;Luis PEREZ COMPANC;Pierre KAFFER;Nicolas MINASSIAN;;Oreca 03 - Nissan;M;LMP2;;LMP2;Classified;325;24:03'25.003;23 Laps;2 Laps;310;3'40.992;222.0;
12;43;Morand Racing;Natacha GACHNANG;Franck MAILLEUX;Olivier LOMBARD;;Morgan - Judd;D;LMP2;;LMP2;Classified;320;24:01'18.707;28 Laps;5 Laps;282;3'41.696;221.3;
13;48;Murphy Prototypes;Brendon HARTLEY;Mark PATTERSON;Karun CHANDHOK;;Oreca 03 - Nissan;D;LMP2;;LMP2;Classified;319;24:01'19.478;29 Laps;1 Laps;266;3'40.434;222.6;
14;38;Jota Sport;Simon DOLAN;Oliver TURVEY;Lucas LUHR;;Zytek Z11SN - Nissan;D;LMP2;;LMP2;Classified;319;24:05'21.027;29 Laps;4'01.549;278;3'39.016;224.0;
15;36;Signatech Alpine;Nelson PANCIATICI;Pierre RAGUES;Tristan GOMMENDY;;Alpine - Nissan;M;LMP2;;LMP2;Classified;317;24:04'11.264;31 Laps;2 Laps;204;3'40.909;222.1;
16;92;Porsche AG Team Manthey;Marc LIEB;Richard LIETZ;Romain DUMAS;;Porsche 911 RSR;M;LMGTE Pro;;LMGTE Pro;Classified;315;24:02'10.497;33 Laps;2 Laps;290;3'55.453;208.4;
17;91;Porsche AG Team Manthey;Jörg BERGMEISTER;Patrick PILET;Timo BERNHARD;;Porsche 911 RSR;M;LMGTE Pro;;LMGTE Pro;Classified;315;24:04'21.128;33 Laps;2'10.631;77;3'55.323;208.5;
18;97;Aston Martin Racing;Peter DUMBRECK;Stefan MÜCKE;Darren TURNER;;Aston Martin Vantage V8;M;LMGTE Pro;;LMGTE Pro;Classified;314;24:01'25.633;34 Laps;1 Laps;300;3'55.791;208.1;
19;34;Race Performance;Michel FREY;Patric NIEDERHAUSER;Jeroen BLEEKEMOLEN;;Oreca 03 - Judd;D;LMP2;;LMP2;Classified;314;24:02'52.764;34 Laps;1'27.131;278;3'41.983;221.0;
20;73;Corvette Racing;Jan MAGNUSSEN;Antonio GARCIA;Jordan TAYLOR;;Chevrolet Corvette C6-ZR1;M;LMGTE Pro;;LMGTE Pro;Classified;312;24:04'41.026;36 Laps;2 Laps;269;3'57.061;207.0;
21;71;AF Corse;Olivier BERETTA;Kamui KOBAYASHI;Toni VILANDER;;Ferrari 458 Italia;M;LMGTE Pro;;LMGTE Pro;Classified;312;24:06'37.190;36 Laps;1'56.164;289;3'56.338;207.6;
22;51;AF Corse;Gianmaria BRUNI;Giancarlo FISICHELLA;Matteo MALUCELLI;;Ferrari 458 Italia;M;LMGTE Pro;;LMGTE Pro;Classified;311;24:02'57.100;37 Laps;1 Laps;244;3'56.630;207.3;
23;74;Corvette Racing;Oliver GAVIN;Tommy MILNER;Richard WESTBROOK;;Chevrolet Corvette C6-ZR1;M;LMGTE Pro;;LMGTE Pro;Classified;309;24:02'09.657;39 Laps;2 Laps;295;3'57.377;206.7;
