POSITION;NUMBER;TEAM;DRIVER_1;DRIVER_2;DRIVER_3;DRIVER_4;VEHICLE;TYRES;CLASS;GROUP;DIVISION;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;DRIVER_5;
33;62;WeatherTech Racing;Cooper MACNEIL;Toni VILANDER;Robert SMITH;;Ferrari 488 GTE;M;LMGTE Am;;;Classified;333;24:03'05.409;52 Laps;1 Laps;313;3'53.835;209.8;;
34;77;Dempsey - Proton Racing;Matt CAMPBELL;Christian RIED;Julien ANDLAUER;;Porsche 911 RSR;M;LMGTE Am;;;Classified;332;24:00'11.757;53 Laps;1 Laps;2;3'52.945;210.6;;
35;57;Car Guy Racing;Takeshi KIMURA;Kei COZZOLINO;Côme LEDOGAR;;Ferrari 488 GTE;M;LMGTE Am;;;Classified;332;24:02'13.057;53 Laps;2'01.300;2;3'53.684;209.9;;
36;78;Proton Competition;Louis PRETTE;Philippe PRETTE;Vincent ABRIL;;Porsche 911 RSR;M;LMGTE Am;;;Classified;332;24:03'01.454;53 Laps;48.397;2;3'53.716;209.9;;
37;61;Clearwater Racing;Luis PEREZ-COMPANC;Matthew GRIFFIN;Matteo CRESSONI;;Ferrari 488 GTE;M;LMGTE Am;;;Classified;331;24:01'48.090;54 Laps;1 Laps;296;3'53.746;209.9;;
38;86;Gulf Racing;Michael WAINWRIGHT;Benjamin BARKER;Thomas PREINING;;Porsche 911 RSR;M;LMGTE Am;;;Classified;331;24:02'53.948;54 Laps;1'05.858;2;3'52.834;210.7;;
39;83;Kessel Racing;Manuela GOSTNER;Rahel FREY;Michelle GATTING;;Ferrari 488 GTE;M;LMGTE Am;;;Classified;330;24:04'05.792;55 Laps;1 Laps;314;3'55.261;208.5;;
40;89;Risi Competizione;Pipo DERANI;Oliver JARVIS;Jules GOUNON;;Ferrari 488 GTE EVO;M;LMGTE Pro;;;Classified;329;24:02'43.517;56 Laps;1 Laps;298;3'51.741;211.7;;
41;70;MR Racing;Motoaki ISHIKAWA;Olivier BERETTA;Edward CHEEVER;;Ferrari 488 GTE;M;LMGTE Am;;;Classified;328;24:03'51.293;57 Laps;1 Laps;292;3'54.578;209.1;;
42;90;TF Sport;Salih YOLUC;Euan HANKEY;Charles EASTWOOD;;Aston Martin Vantage;M;LMGTE Am;;;Classified;327;24:02'36.061;58 Laps;1 Laps;263;3'54.604;209.1;;
43;54;Spirit of Race;Thomas FLOHR;Francesco CASTELLACCI;Giancarlo FISICHELLA;;Ferrari 488 GTE;M;LMGTE Am;;;Classified;327;24:04'58.415;58 Laps;2'22.354;267;3'53.394;210.2;;
44;97;Aston Martin Racing;Maxime MARTIN;Alexander LYNN;Jonathan ADAM;;Aston Martin Vantage AMR;M;LMGTE Pro;;;Classified;325;24:00'42.319;60 Laps;2 Laps;3;3'51.423;212.0;;
45;34;Inter Europol Competition;Jakub SMIECHOWSKI;James WINSLOW;Nigel MOORE;;Ligier JSP217 - Gibson;M;LMP2;;;Classified;325;24:02'12.317;60 Laps;1'29.998;184;3'32.730;230.6;;
46;60;Kessel Racing;Claudio SCHIAVONI;Sergio PIANEZZOLA;Andrea PICCINI;;Ferrari 488 GTE;M;LMGTE Am;;;Classified;324;24:04'05.536;61 Laps;1 Laps;239;3'53.472;210.1;;
47;81;BMW Team MTEK;Nicky CATSBURG;Martin TOMCZYK;Philipp ENG;;BMW M8 GTE;M;LMGTE Pro;;;Classified;309;24:00'26.754;76 Laps;15 Laps;18;3'51.118;212.2;;
48;43;RLR M Sport / Tower Events;John FARANO;Arjun MAINI;Norman NATO;;Oreca 07 - Gibson;D;LMP2;;;Not classified;295;20:09'42.073;90 Laps;14 Laps;275;3'28.980;234.7;;
49;31;DragonSpeed;Roberto GONZALEZ;Pastor MALDONADO;Anthony DAVIDSON;;Oreca 07 - Gibson;M;LMP2;;;Retired;245;16:09'29.728;140 Laps;50 Laps;187;3'28.216;235.6;;
50;37;Jackie Chan DC Racing;David HEINEMEIER-HANSSON;Jordan KING;Ricky TAYLOR;;Oreca 07 - Gibson;D;LMP2;;;Retired;199;13:17'51.879;186 Laps;46 Laps;182;3'29.952;233.6;;
51;17;SMP Racing;Stéphane SARRAZIN;Egor ORUDZHEV;Sergey SIROTKIN;;BR Engineering BR1 - AER;M;LMP1;;;Retired;163;10:18'13.785;222 Laps;36 Laps;3;3'20.273;244.9;;
52;4;Bykolles Racing Team;Tom DILLMANN;Oliver WEBB;Paolo RUBERTI;;Enso CLM P1/01 - Gibson;M;LMP1;;;Retired;163;12:53'14.155;222 Laps;2:35'00.370;3;3'24.333;240.1;;
53;49;ARC Bratislava;Miro KONOPKA;Henning ENQVIST;Konstantin TERESCHENKO;;Ligier JSP217 - Gibson;D;LMP2;;;Retired;160;13:32'48.155;225 Laps;3 Laps;28;3'32.513;230.8;;
54;71;AF Corse;Davide RIGON;Sam BIRD;Miguel MOLINA;;Ferrari 488 GTE EVO;M;LMGTE Pro;;;Retired;140;9:54'48.259;245 Laps;20 Laps;3;3'50.862;212.5;;
55;95;Aston Martin Racing;Nicki THIIM;Marco SØRENSEN;Darren TURNER;;Aston Martin Vantage AMR;M;LMGTE Pro;;;Retired;132;9:18'25.054;253 Laps;8 Laps;2;3'50.139;213.1;;
56;98;Aston Martin Racing;Paul DALLA LANA;Pedro LAMY;Mathias LAUDA;;Aston Martin Vantage;M;LMGTE Am;;;Retired;87;7:01'33.766;298 Laps;45 Laps;4;3'55.026;208.7;;
57;64;Corvette Racing;Oliver GAVIN;Tommy MILNER;Marcel FÄSSLER;;Chevrolet Corvette C7.R;M;LMGTE Pro;;;Retired;82;5:36'00.286;303 Laps;5 Laps;2;3'50.484;212.8;;
58;88;Dempsey - Proton Racing;Satoshi HOSHINO;Giorgio RODA JR;Matteo CAIROLI;;Porsche 911 RSR;M;LMGTE Am;;;Retired;79;6:28'27.584;306 Laps;3 Laps;2;3'52.567;210.9;;
59;10;DragonSpeed;Henrik HEDMAN;Ben HANLEY;Renger VAN DER ZANDE;;BR Engineering BR1 - Gibson;M;LMP1;;;Retired;76;8:30'14.175;309 Laps;3 Laps;3;3'22.565;242.2;;
60;68;Ford Chip Ganassi Team USA;Joey HAND;Dirk MÜLLER;Sébastien BOURDAIS;;Ford GT;M;LMGTE Pro;;;Classified;342;24:02'41.630;43 Laps;-266 Laps;283;3'50.492;212.8;;
61;85;Keating Motorsports;Ben KEATING;Jeroen BLEEKEMOLEN;Felipe FRAGA;;Ford GT;M;LMGTE Am;;;Classified;334;24:02'20.102;51 Laps;8 Laps;168;3'53.774;209.8;;
