POSITION;NUMBER;TEAM;DRIVER_1;DRIVER_2;DRIVER_3;DRIVER_4;VEHICLE;TYRES;CLASS;GROUP;DIVISION;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;DRIVER_5;
1;8;Toyota Gazoo Racing;Sébastien BUEMI;Kazuki NAKAJIMA;Fernando ALONSO;;Toyota TS050 - Hybrid;M;LMP1;H;;Classified;385;24:00'10.574;;;4;3'18.397;247.2;;
2;7;Toyota Gazoo Racing;Mike CONWAY;Kamui KOBAYASHI;Jose Maria LOPEZ;;Toyota TS050 - Hybrid;M;LMP1;H;;Classified;385;24:00'27.546;16.972;16.972;4;3'17.297;248.6;;
3;11;SMP Racing;Vitaly PETROV;Mikhail ALESHIN;Stoffel VANDOORNE;;BR Engineering BR1 - AER;M;LMP1;;;Classified;379;24:00'47.948;6 Laps;6 Laps;45;3'19.785;245.5;;
4;1;Rebellion Racing;Neel JANI;André LOTTERER;Bruno SENNA;;Rebellion R13 - Gibson;M;LMP1;;;Classified;376;24:01'52.069;9 Laps;3 Laps;4;3'20.605;244.5;;
5;3;Rebellion Racing;Thomas LAURENT;Nathanaël BERTHON;Gustavo MENEZES;;Rebellion R13 - Gibson;M;LMP1;;;Classified;370;24:01'23.474;15 Laps;6 Laps;136;3'18.720;246.8;;
6;36;Signatech Alpine Matmut;Nicolas LAPIERRE;André NEGRÃO;Pierre THIRIET;;Alpine A470 - Gibson;M;LMP2;;;Classified;368;24:02'30.436;17 Laps;2 Laps;4;3'27.694;236.2;;
7;38;Jackie Chan DC Racing;Ho-Pin TUNG;Stéphane RICHELMI;Gabriel AUBRY;;Oreca 07 - Gibson;D;LMP2;;;Classified;367;24:01'11.901;18 Laps;1 Laps;346;3'29.077;234.6;;
8;28;TDS Racing;François PERRODO;Matthieu VAXIVIERE;Loïc DUVAL;;Oreca 07 - Gibson;D;LMP2;;;Classified;366;24:00'40.659;19 Laps;1 Laps;3;3'27.611;236.3;;
9;22;United Autosports;Philip HANSON;Filipe ALBUQUERQUE;Paul DI RESTA;;Ligier JSP217 - Gibson;M;LMP2;;;Classified;365;24:00'53.907;20 Laps;1 Laps;234;3'29.892;233.7;;
10;48;Idec Sport;Paul LAFARGUE;Paul Loup CHATIN;Memo ROJAS;;Oreca 07 - Gibson;M;LMP2;;;Classified;364;24:00'35.435;21 Laps;1 Laps;348;3'28.883;234.8;;
11;26;G-Drive Racing;Roman RUSINOV;Job VAN UITERT;Jean-Eric VERGNE;;Aurus 01 - Gibson;D;LMP2;;;Classified;364;24:01'00.288;21 Laps;24.853;314;3'27.719;236.2;;
12;30;Duqueine Engineering;Nicolas JAMIN;Pierre RAGUES;Romain DUMAS;;Oreca 07 - Gibson;M;LMP2;;;Classified;363;24:00'28.815;22 Laps;1 Laps;100;3'28.984;234.7;;
13;23;Panis Barthez Competition;René BINDER;Julien CANAL;William STEVENS;;Ligier JSP217 - Gibson;D;LMP2;;;Classified;362;24:00'19.203;23 Laps;1 Laps;4;3'30.800;232.7;;
14;39;Graff;Tristan GOMMENDY;Vincent CAPILLAIRE;Jonathan HIRSCHI;;Oreca 07 - Gibson;M;LMP2;;;Classified;362;24:00'20.133;23 Laps;0.930;267;3'29.175;234.5;;
15;25;Algarve Pro Racing;David ZOLLINGER;Andrea PIZZITOLA;John FALB;;Oreca 07 - Gibson;D;LMP2;;;Classified;357;24:03'32.245;28 Laps;5 Laps;338;3'29.072;234.6;;
16;20;High Class Racing;Anders FJORDBACH;Dennis ANDERSEN;Mathias BECHE;;Oreca 07 - Gibson;D;LMP2;;;Classified;356;24:02'59.659;29 Laps;1 Laps;245;3'29.896;233.7;;
17;50;Larbre Competition;Erwin CREED;Romano RICCI;Nicholas BOULLE;;Ligier JSP217 - Gibson;M;LMP2;;;Classified;355;24:01'24.643;30 Laps;1 Laps;4;3'33.860;229.4;;
18;47;Cetilar R. Villorba Corse;Roberto LACORTE;Giorgio SERNAGIOTTO;Andrea BELICCHI;;Dallara P217 - Gibson;M;LMP2;;;Classified;352;24:02'34.882;33 Laps;3 Laps;4;3'31.596;231.8;;
19;32;United Autosports;Ryan CULLEN;Alex BRUNDLE;Will OWEN;;Ligier JSP217 - Gibson;M;LMP2;;;Classified;348;24:00'23.515;37 Laps;4 Laps;3;3'30.721;232.8;;
20;51;AF Corse;Alessandro PIER GUIDI;James CALADO;Daniel SERRA;;Ferrari 488 GTE EVO;M;LMGTE Pro;;;Classified;342;24:00'29.469;43 Laps;6 Laps;97;3'50.125;213.2;;
21;91;Porsche GT Team;Richard LIETZ;Gianmaria BRUNI;Frédéric MAKOWIECKI;;Porsche 911 RSR;M;LMGTE Pro;;;Classified;342;24:01'18.662;43 Laps;49.193;304;3'49.831;213.4;;
22;93;Porsche GT Team;Patrick PILET;Earl BAMBER;Nick TANDY;;Porsche 911 RSR;M;LMGTE Pro;;;Classified;342;24:01'36.626;43 Laps;17.964;3;3'50.279;213.0;;
23;67;Ford Chip Ganassi Team UK;Andy PRIAULX;Harry TINCKNELL;Jonathan BOMARITO;;Ford GT;M;LMGTE Pro;;;Classified;342;24:03'52.597;43 Laps;2'15.971;3;3'50.328;213.0;;
24;69;Ford Chip Ganassi Team USA;Ryan BRISCOE;Richard WESTBROOK;Scott DIXON;;Ford GT;M;LMGTE Pro;;;Classified;341;24:02'12.468;44 Laps;1 Laps;245;3'50.865;212.5;;
25;66;Ford Chip Ganassi Team UK;Stefan MÜCKE;Olivier PLA;Billy JOHNSON;;Ford GT;M;LMGTE Pro;;;Classified;340;24:00'51.196;45 Laps;1 Laps;18;3'51.247;212.1;;
26;29;Racing Team Nederland;Frits VAN EERD;Giedo VAN DER GARDE;Nyck DE VRIES;;Dallara P217 - Gibson;M;LMP2;;;Classified;340;24:02'48.518;45 Laps;1'57.322;213;3'29.023;234.7;;
27;94;Porsche GT Team;Sven MÜLLER;Mathieu JAMINET;Dennis OLSEN;;Porsche 911 RSR;M;LMGTE Pro;;;Classified;339;24:00'34.560;46 Laps;1 Laps;309;3'50.819;212.5;;
28;63;Corvette Racing;Jan MAGNUSSEN;Antonio GARCIA;Mike ROCKENFELLER;;Chevrolet Corvette C7.R;M;LMGTE Pro;;;Classified;337;24:01'57.941;48 Laps;2 Laps;2;3'49.958;213.3;;
29;92;Porsche GT Team;Michael CHRISTENSEN;Kevin ESTRE;Laurens VANTHOOR;;Porsche 911 RSR;M;LMGTE Pro;;;Classified;337;24:03'55.044;48 Laps;1'57.103;96;3'49.937;213.3;;
30;82;BMW Team MTEK;Augusto FARFUS;Antonio Felix DA COSTA;Jesse KROHN;;BMW M8 GTE;M;LMGTE Pro;;;Classified;335;24:00'26.780;50 Laps;2 Laps;3;3'50.702;212.6;;
31;56;Team Project 1;Jörg BERGMEISTER;Patrick LINDSEY;Egidio PERFETTI;;Porsche 911 RSR;M;LMGTE Am;;;Classified;334;24:03'05.045;51 Laps;1 Laps;2;3'54.101;209.5;;
32;84;JMW Motorsport;Jeffrey SEGAL;Rodrigo BAPTISTA;Wei LU;;Ferrari 488 GTE;M;LMGTE Am;;;Classified;334;24:03'49.229;51 Laps;44.184;2;3'53.813;209.8;;
