POSITION;NUMBER;TEAM;DRIVER_1;DRIVER_2;DRIVER_3;DRIVER_4;VEHICLE;TYRES;CLASS;GROUP;DIVISION;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;
37;33;Level 5 Motorsport;Scott Tucker;Christophe Bouchut;Luis Diaz;;HPD ARX 03b - Honda;D;LMP2;;N;Retired;240;16:41'11.482;138 Laps;31 Laps;216;3'42.230;220.8;
38;30;Status Grand Prix;Alexander Sims;Yelmer Buurman;Romain Ianneta;;Lola - Judd;D;LMP2;;N;Retired;239;17:42'31.931;139 Laps;1 Laps;225;3'41.976;221.0;
39;88;Team Felbermayr-Proton;Christian Ried;Gianluca Roda;Paolo Ruberti;;Porsche 911 RSR (997);M;LMGTE Am;;;Retired;222;16:49'48.773;156 Laps;17 Laps;171;4'00.305;204.2;
40;15;Oak Racing;Franck Montagny;Bertrand Baguette;Dominik Kraihamer;;Oak Pescarolo - Judd;D;LMP1;;;Retired;219;15:50'06.133;159 Laps;3 Laps;53;3'36.321;226.8;
41;66;JMW Motorsport;James Walker;Jonny Cocker;Roger Wills;;Ferrari 458 Italia;D;LMGTE Pro;;N;Retired;204;15:20'07.607;174 Laps;15 Laps;51;4'00.827;203.7;
42;48;Murphy Prototypes;Jody Firth;Warren Hughes;Brendon Hartley;;Oreca 03 - Nissan;D;LMP2;;N;Retired;196;13:25'07.987;182 Laps;8 Laps;184;3'40.770;222.2;
43;77;Team Felbermayr-Proton;Marc Lieb;Richard Lietz;Wolf Henzler;;Porsche 911 RSR (997);M;LMGTE Pro;;;Retired;184;13:17'06.976;194 Laps;12 Laps;116;3'58.520;205.7;
44;75;Prospeed Competition;Abdulaziz Alfaisal;Bret Curtis;Sean Edwards;;Porsche 911 RSR (997);M;LMGTE Am;;N;Retired;180;13:43'15.689;198 Laps;4 Laps;147;4'00.546;204.0;
45;31;Lotus;Thomas Holzer;Mirco Schultis;Luca Moro;;Lola B12/80 Coupe - Lotus;D;LMP2;;;Retired;155;11:13'13.295;223 Laps;25 Laps;42;3'46.261;216.8;
46;58;Luxury Racing;Pierre Ehret;Franck Montecalvo;Gunnar Jeannette;;Ferrari 458 Italia;M;LMGTE Am;;;Retired;146;11:13'03.950;232 Laps;9 Laps;85;4'01.171;203.4;
47;24;Oak Racing;Jacques Nicolet;Matthieu Lahaye;Olivier Pla;;Morgan - Judd;D;LMP2;;;Retired;139;9:35'11.089;239 Laps;7 Laps;43;3'41.838;221.2;
48;7;Toyota Racing;Alexander Wurz;Nicolas Lapierre;Kazuki Nakajima;;Toyota TS 030 - Hybrid;M;LMP1;;;Retired;134;10:33'50.049;244 Laps;5 Laps;62;3'27.088;236.9;
49;80;Flying Lizard Motorsports;Jörg Bergmeister;Patrick Long;Marco Holzer;;Porsche 911 RSR (997);M;LMGTE Pro;;N;Retired;114;9:12'21.190;264 Laps;20 Laps;82;3'57.824;206.3;
50;28;Gulf Racing Middle East;Fabien Giroix;Stefan Johansson;Ludovic Badey;;Lola  B12/80 Coupe - Nissan;D;LMP2;;;Retired;92;9:25'36.580;286 Laps;22 Laps;25;3'45.353;217.7;
51;8;Toyota Racing;Anthony Davidson;Sébastien Buemi;Stéphane Sarrazin;;Toyota TS 030 - Hybrid;M;LMP1;;;Retired;82;4:57'28.585;296 Laps;10 Laps;70;3'27.101;236.9;
52;0;Highcroft Racing;Marino Franchitti;Michael Krumm;Satoshi Motoyama;;Delta Wing Nissan;M;CDNT;;N;Retired;75;6:09'12.395;303 Laps;7 Laps;39;3'45.737;217.4;
53;81;AF Corse;Piergiuseppe Perazzini;Nicola Cadei;Matt Griffin;;Ferrari 458 Italia;M;LMGTE Am;;;Retired;70;4:57'09.020;308 Laps;5 Laps;56;4'03.041;201.9;
54;99;Aston Martin Racing;Allan Simonsen;Christoffer Nygaard;Kristian Poulsen;;Aston Martin Vantage V8;M;LMGTE Am;;;Retired;31;3:37'12.321;347 Laps;39 Laps;11;3'58.934;205.3;
55;16;Pescarolo Team;Emmanuel Collard;Stuart Hall;;;Pescarolo 03 - Judd;M;LMP1;;;Retired;20;3:05'19.776;358 Laps;11 Laps;11;3'44.206;218.8;
56;29;Gulf Racing Middle East;Jean-Denis Deletraz;Keiko Ihara;Marc Rostan;;Lola  B12/80 Coupe - Nissan;D;LMP2;;;Retired;17;1:07'41.979;361 Laps;3 Laps;16;3'49.076;214.2;
