POSITION;NUMBER;TEAM;DRIVER_1;DRIVER_2;DRIVER_3;DRIVER_4;VEHICLE;TYRES;CLASS;GROUP;DIVISION;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;
1;1;Audi Sport Team Joest;Marcel Fässler;André Lotterer;Benoit Tréluyer;;Audi R18 e-tron quattro;M;LMP1;;;Classified;378;24:01'16.128;;;318;3'25.706;238.5;
2;2;Audi Sport Team Joest;Dindo Capello;Tom Kristensen;Allan McNish;;Audi R18 e-tron quattro;M;LMP1;;;Classified;377;24:01'16.256;1 Laps;1 Laps;355;3'24.276;240.2;
3;4;Audi Sport North America;Marco Bonanomi;Oliver Jarvis;Mike Rockenfeller;;Audi R18 Ultra;M;LMP1;;N;Classified;375;24:01'16.936;3 Laps;2 Laps;330;3'25.514;238.7;
4;12;Rebellion Racing;Nicolas Prost;Neel Jani;Nick Heidfeld;;Lola B12/60 Coupe - Toyota;M;LMP1;;;Classified;367;24:01'18.989;11 Laps;8 Laps;345;3'29.664;234.0;
5;3;Audi Sport Team Joest;Romain Dumas;Loic Duval;Marc Gené;;Audi R18 Ultra;M;LMP1;;;Classified;366;24:01'17.170;12 Laps;1 Laps;269;3'24.189;240.3;
6;22;JRM;David Brabham;Karun Chandhok;Peter Dumbreck;;HPD ARX  03a - Honda;M;LMP1;;;Classified;357;24:04'35.578;21 Laps;9 Laps;281;3'33.242;230.1;
7;44;Starworks Motorsports;Vicente Potolicchio;Ryan Dalziel;Thomas Kimber-Smith;;HPD ARX 03b - Honda;D;LMP2;;;Classified;354;24:02'38.417;24 Laps;3 Laps;337;3'41.024;222.0;
8;46;Thiriet By TDS Racing;Mathias Beche;Pierre Thiriet;Christophe Tinseau;;Oreca 03 - Nissan;D;LMP2;;N;Classified;353;24:01'26.973;25 Laps;1 Laps;294;3'40.728;222.3;
9;49;Pecom Racing;Luis Perez Companc;Soheil Ayari;Pierre Kaffer;;Oreca 03 - Nissan;D;LMP2;;;Classified;352;24:01'29.749;26 Laps;1 Laps;263;3'39.641;223.4;
10;26;Signatech Nissan;Nelson Panciatici;Pierre Ragues;Roman Rusinov;;Oreca 03 - Nissan;D;LMP2;;;Classified;351;24:04'43.093;27 Laps;1 Laps;299;3'41.860;221.2;
11;13;Rebellion Racing;Andrea Belicchi;Harold Primat;Jeroen Bleekemolen;;Lola B12/60 Coupe - Toyota;M;LMP1;;;Classified;350;24:04'36.816;28 Laps;1 Laps;336;3'32.151;231.3;
12;41;Greaves Motorsport;Christian Zugel;Ricardo Gonzalez;Elton Julian;;Zytek Z11SN - Nissan;D;LMP2;;;Classified;348;24:02'13.904;30 Laps;2 Laps;331;3'41.316;221.7;
13;25;ADR-Delta;John Martin;Jan Charouz;Tor Graves;;Oreca 03 - Nissan;D;LMP2;;;Classified;346;24:04'44.996;32 Laps;2 Laps;253;3'38.803;224.2;
14;35;Oak Racing;David Heinemeier Hansson;Bas Leinders;Maxime Martin;;Morgan - Nissan;D;LMP2;;;Classified;341;24:04'46.477;37 Laps;5 Laps;248;3'40.654;222.4;
15;42;Greaves Motorsport;Lucas Ordoñez;Martin Brundle;Alex Brundle;;Zytek Z11SN - Nissan;D;LMP2;;;Classified;340;24:01'55.649;38 Laps;1 Laps;315;3'40.896;222.1;
16;23;Signatech Nissan;Franck Mailleux;Olivier Lombard;Jordan Tresson;;Oreca 03 - Nissan;D;LMP2;;;Classified;340;24:04'43.118;38 Laps;2'47.469;246;3'41.119;221.9;
17;51;AF Corse;Giancarlo Fisichella;Gianmaria Bruni;Toni Vilander;;Ferrari 458 Italia;M;LMGTE Pro;;;Classified;336;24:04'51.579;42 Laps;4 Laps;123;3'56.953;207.1;
18;59;Luxury Racing;Frédéric Makowiecki;Jaime Melo;Dominik Farnbacher;;Ferrari 458 Italia;M;LMGTE Pro;;;Classified;333;24:01'42.635;45 Laps;3 Laps;279;3'56.024;207.9;
19;97;Aston Martin Racing;Adrian Fernandez;Stefan Mücke;Darren Turner;;Aston Martin Vantage V8;M;LMGTE Pro;;;Classified;332;24:01'59.049;46 Laps;1 Laps;276;3'54.928;208.8;
20;50;Larbre Competition;Patrick Bornhauser;Julien Canal;Pedro Lamy;;Chevrolet Corvette C6 ZR1;M;LMGTE Am;;;Classified;329;24:05'37.413;49 Laps;3 Laps;313;3'58.534;205.7;
21;67;Imsa Performance Matmut;Nicolas Armindo;Raymond Narac;Anthony Pons;;Porsche 911 RSR (997);M;LMGTE Am;;N;Classified;328;24:05'11.893;50 Laps;1 Laps;281;3'58.579;205.7;
22;71;AF Corse;Andrea Bertolini;Olivier Beretta;Marco Cioci;;Ferrari 458 Italia;M;LMGTE Pro;;;Classified;326;24:01'19.501;52 Laps;2 Laps;306;3'57.163;206.9;
23;73;Corvette Racing;Jordan Taylor;Antonio Garcia;Jan Magnussen;;Chevrolet Corvette C6 ZR1;M;LMGTE Pro;;N;Classified;326;24:04'30.411;52 Laps;3'10.910;308;3'56.216;207.7;
24;45;Boutsen Ginion Racing;Bastien Briere;Jens Petersen;Shinji Nakano;;Oreca 03 - Nissan;D;LMP2;;N;Classified;325;24:01'53.828;53 Laps;1 Laps;273;3'40.491;222.5;
25;57;Krohn Racing;Tracy Krohn;Niclas Jönsson;Michele Rugolo;;Ferrari 458 Italia;D;LMGTE Am;;;Classified;323;24:04'00.903;55 Laps;2 Laps;275;4'00.608;203.9;
26;40;Race Performance;Michel Frey;Jonathan Hirschi;Ralph Meichtry;;Oreca 03 - Judd;D;LMP2;;N;Classified;320;24:04'37.832;58 Laps;3 Laps;279;3'42.165;220.8;
27;79;Flying Lizard Motorsports;Seth Neiman;Patrick Pilet;Spencer Pumpelly;;Porsche 911 RSR (997);M;LMGTE Am;;N;Classified;313;24:02'56.092;65 Laps;7 Laps;225;3'56.596;207.4;
28;70;Larbre Competition;Jean-Philippe Belloc;Christophe Bourret;Pascal Gibon;;Chevrolet Corvette C6 ZR1;M;LMGTE Am;;;Classified;309;24:04'59.073;69 Laps;4 Laps;266;4'00.679;203.9;
29;43;Extreme Limit Aric;Fabien Rosier;Philippe Thirion;Philippe Haezebrouck;;Norma MP 2000 - Judd;D;LMP2;;N;Classified;308;24:04'26.394;70 Laps;1 Laps;155;3'50.571;212.8;
30;21;Strakka Racing;Nick Leventis;Danny Watts;Jonny Kane;;HPD ARX  03a - Honda;M;LMP1;;;Classified;303;24:01'47.873;75 Laps;5 Laps;267;3'31.529;232.0;
31;61;AF Corse-Waltrip;Robert Kauffman;Rui Aguas;Brian Vickers;;Ferrari 458 Italia;M;LMGTE Am;;;Classified;294;24:06'07.267;84 Laps;9 Laps;237;3'58.821;205.4;
32;83;JMB  Racing;Manuel Rodrigues;Alain Ferte;Philippe Illiano;;Ferrari 458 Italia;M;LMGTE Am;;N;Classified;292;24:01'20.206;86 Laps;2 Laps;246;4'02.213;202.6;
33;55;JWA-Avila;Joël Camathias;Markus Palttala;Paul Daniels;;Porsche 911 RSR (997);P;LMGTE Am;;;Classified;290;24:06'03.393;88 Laps;2 Laps;244;4'04.333;200.8;
34;74;Corvette Racing;Oliver Gavin;Tommy Milner;Richard Westbrook;;Chevrolet Corvette C6 ZR1;M;LMGTE Pro;;N;Not classified;215;24:04'30.368;163 Laps;75 Laps;168;3'56.835;207.2;
35;17;Pescarolo Team;Sébastien Bourdais;Nicolas Minassian;Seiji Ara;;Dome - Judd;M;LMP1;;;Not classified;203;24:08'45.196;175 Laps;12 Laps;37;3'33.560;229.7;
36;38;Jota;Simon Dolan;Sam Hancock;Haruki Kurosawa;;Zytek Z11SN - Nissan;D;LMP2;;N;Retired;271;19:43'53.342;107 Laps;-68 Laps;96;3'41.683;221.3;
