POSITION;NUMBER;TEAM;DRIVER_1;DRIVER_2;DRIVER_3;DRIVER_4;VEHICLE;TYRES;CLASS;GROUP;DIVISION;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;
38;93;Proton Competition;Patrick LONG;Abdulaziz AL FAISAL;Michael HEDLUND;;Porsche 911 RSR 991;D;LMGTE Am;;;Classified;329;24:05'05.977;38 Laps;2'25.518;205;3'58.089;206.1;
39;86;Gulf Racing UK;Michael WAINWRIGHT;Benjamin BARKER;Nicholas FOSTER;;Porsche 911 RSR (2016);D;LMGTE Am;;;Classified;328;24:04'29.838;39 Laps;1 Laps;184;3'57.456;206.6;
40;22;G-Drive Racing;Memo ROJAS;Ryo HIRAKAWA;Jose GUTIERREZ;;Oreca 07 - Gibson;D;LMP2;;;Classified;327;24:01'55.583;40 Laps;1 Laps;227;3'31.721;231.7;
41;60;Clearwater Racing;Richard WEE;Hiroki KATOH;Alvaro PARENTE;;Ferrari 488 GTE;M;LMGTE Am;;;Classified;327;24:02'36.037;40 Laps;40.454;150;3'54.089;209.6;
42;54;Spirit of Race;Thomas FLOHR;Francesco CASTELLACCI;Olivier BERETTA;;Ferrari 488 GTE;M;LMGTE Am;;;Classified;326;24:03'26.836;41 Laps;1 Laps;143;3'56.298;207.6;
43;83;DH Racing;Tracy KROHN;Niclas JÖNSSON;Andrea BERTOLINI;;Ferrari 488 GTE;M;LMGTE Am;;;Classified;320;24:02'11.781;47 Laps;6 Laps;86;3'55.058;208.7;
44;39;Graff;Enzo GUIBBERT;Eric TROUILLET;James WINSLOW;;Oreca 07 - Gibson;D;LMP2;;;Classified;318;24:01'24.345;49 Laps;2 Laps;233;3'29.210;234.5;
45;65;Scuderia Corsa;Christina NIELSEN;Alessandro BALZAN;Bret CURTIS;;Ferrari 488 GTE;M;LMGTE Am;;;Classified;314;24:01'25.608;53 Laps;4 Laps;217;3'54.843;208.9;
46;49;Arc Bratislava;Miroslav KONOPKA;Konstantin CALKO;Rik BREUKERS;;Ligier JSP217 - Gibson;D;LMP2;;;Classified;314;24:05'14.795;53 Laps;3'49.187;167;3'33.096;230.2;
47;51;AF Corse;James CALADO;Alessandro PIER GUIDI;Michele RUGOLO;;Ferrari 488 GTE;M;LMGTE Pro;;;Classified;312;24:02'53.224;55 Laps;2 Laps;213;3'51.422;212.0;
48;43;Keating Motorsports;Ben KEATING;Jeroen BLEEKEMOLEN;Ricky TAYLOR;;Riley MK30 - GIBSON;M;LMP2;;;Classified;312;24:04'03.134;55 Laps;1'09.910;175;3'37.434;225.7;
49;50;Larbre Competition;Fernando REES;Romain BRANDELA;Christian PHILIPPON;;Chevrolet Corvette C7.R;M;LMGTE Am;;;Classified;309;24:04'49.425;58 Laps;3 Laps;4;3'53.857;209.8;
50;1;Porsche LMP Team;Neel JANI;André LOTTERER;Nick TANDY;;Porsche 919 Hybrid;M;LMP1;H;;Retired;318;20:08'35.777;49 Laps;-9 Laps;3;3'18.805;246.8;
51;23;Panis Barthez Competition;Fabien BARTHEZ;Timothé BURET;Nathanaël BERTHON;;Ligier JSP217 - Gibson;M;LMP2;;;Retired;296;20:12'46.080;71 Laps;22 Laps;266;3'33.049;230.3;
52;28;TDS Racing;François PERRODO;Matthieu VAXIVIERE;Emmanuel COLLARD;;Oreca 07 - Gibson;D;LMP2;;;Retired;213;14:37'16.976;154 Laps;83 Laps;158;3'31.517;232.0;
53;92;Porsche GT Team;Michael CHRISTENSEN;Kevin ESTRE;Dirk WERNER;;Porsche 911 RSR;M;LMGTE Pro;;;Retired;179;12:57'03.073;188 Laps;34 Laps;156;3'51.699;211.8;
54;9;Toyota Gazoo Racing;Nicolas LAPIERRE;Yuji KUNIMOTO;Jose Maria LOPEZ;;Toyota TS050 - Hybrid;M;LMP1;H;;Retired;160;10:10'31.921;207 Laps;19 Laps;75;3'19.321;246.2;
55;7;Toyota Gazoo Racing;Mike CONWAY;Kamui KOBAYASHI;Stéphane SARRAZIN;;Toyota TS050 - Hybrid;M;LMP1;H;;Retired;154;9:43'04.379;213 Laps;6 Laps;3;3'18.694;246.9;
56;25;CEFC Manor TRS Racing;Roberto GONZALEZ;Simon TRUMMER;Vitaly PETROV;;Oreca 07 - Gibson;D;LMP2;;;Retired;152;10:10'31.428;215 Laps;2 Laps;106;3'29.143;234.6;
57;82;Risi Competizione;Toni VILANDER;Giancarlo FISICHELLA;Pierre KAFFER;;Ferrari 488 GTE;M;LMGTE Pro;;;Retired;72;4:58'37.414;295 Laps;80 Laps;38;3'52.298;211.2;
58;26;G-Drive Racing;Roman RUSINOV;Pierre THIRIET;Alex LYNN;;Oreca 07 - Gibson;D;LMP2;;;Retired;20;1:28'18.463;347 Laps;52 Laps;3;3'31.213;232.3;
59;88;Proton Competition;Klaus BACHLER;Stéphane LEMERET;Khaled AL QUBAISI;;Porsche 911 RSR 991;D;LMGTE Am;;;Retired;18;1:18'07.557;349 Laps;2 Laps;13;4'01.338;203.3;
60;4;Bykolles Racing Team;Oliver WEBB;Dominik KRAIHAMER;Marco BONANOMI;;Enso CLM P1/01 - Nismo;M;LMP1;;;Retired;7;29'52.736;360 Laps;11 Laps;4;3'25.919;238.3;
