POSITION;NUMBER;TEAM;DRIVER_1;DRIVER_2;DRIVER_3;DRIVER_4;VEHICLE;TYRES;CLASS;GROUP;DIVISION;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;
1;2;Porsche LMP Team;Timo BERNHARD;Earl BAMBER;Brendon HARTLEY;;Porsche 919 Hybrid;M;LMP1;H;;Classified;367;24:01'14.075;;;85;3'19.782;245.6;
2;38;Jackie Chan DC Racing;Ho-Pin TUNG;Thomas LAURENT;Oliver JARVIS;;Oreca 07 - Gibson;D;LMP2;;;Classified;366;24:01'41.080;1 Laps;1 Laps;227;3'28.632;235.2;
3;13;Vaillante Rebellion;Nelson PIQUET JR;David HEINEMEIER HANSSON;Mathias BECHE;;Oreca 07 - Gibson;D;LMP2;;;Classified;364;24:04'32.351;3 Laps;2 Laps;244;3'28.785;235.0;
4;37;Jackie Chan DC Racing;David CHENG;Tristan GOMMENDY;Alex BRUNDLE;;Oreca 07 - Gibson;D;LMP2;;;Classified;363;24:01'41.097;4 Laps;1 Laps;243;3'29.418;234.3;
5;35;Signatech Alpine Matmut;Nelson PANCIATICI;Pierre RAGUES;André NEGRÃO;;Alpine A470 - Gibson;D;LMP2;;;Classified;362;24:01'14.873;5 Laps;1 Laps;257;3'30.551;233.0;
6;32;United Autosports;Will OWEN;Hugo DE SADELEER;Filipe ALBUQUERQUE;;Ligier JSP217 - Gibson;D;LMP2;;;Classified;362;24:04'46.653;5 Laps;3'31.780;4;3'31.678;231.8;
7;40;Graff;James ALLEN;Franck MATELLI;Richard BRADLEY;;Oreca 07 - Gibson;D;LMP2;;;Classified;361;24:04'37.555;6 Laps;1 Laps;4;3'30.485;233.1;
8;24;CEFC Manor TRS Racing;Tor GRAVES;Jonathan HIRSCHI;Jean-Eric VERGNE;;Oreca 07 - Gibson;D;LMP2;;;Classified;360;24:02'24.553;7 Laps;1 Laps;248;3'28.873;234.9;
9;8;Toyota Gazoo Racing;Sébastien BUEMI;Anthony DAVIDSON;Kazuki NAKAJIMA;;Toyota TS050 - Hybrid;M;LMP1;H;;Classified;358;24:02'05.621;9 Laps;2 Laps;330;3'18.604;247.0;
10;47;Cetilar Villorba Corse;Roberto LACORTE;Giorgio SERNAGIOTTO;Andrea BELICCHI;;Dallara P217 - Gibson;D;LMP2;;;Classified;353;24:02'37.198;14 Laps;5 Laps;204;3'32.606;230.8;
11;36;Signatech Alpine Matmut;Romain DUMAS;Gustavo MENEZES;Matthew RAO;;Alpine A470 - Gibson;D;LMP2;;;Classified;351;24:03'52.052;16 Laps;2 Laps;229;3'30.060;233.6;
12;34;Tockwith Motorsports;Nigel MOORE;Philip HANSON;Karun CHANDHOK;;Ligier JSP217 - Gibson;D;LMP2;;;Classified;351;24:04'49.751;16 Laps;57.699;40;3'33.875;229.4;
13;17;Idec Sport Racing;Patrice LAFARGUE;Paul LAFARGUE;David ZOLLINGER;;Ligier JSP217 - Gibson;M;LMP2;;;Classified;344;24:02'03.096;23 Laps;7 Laps;15;3'37.781;225.3;
14;29;Racing Team Nederland;Jan LAMMERS;Frits VAN EERD;Rubens BARRICHELLO;;Dallara P217 - Gibson;D;LMP2;;;Classified;344;24:02'23.011;23 Laps;19.915;295;3'34.857;228.4;
15;21;Dragonspeed - 10 Star;Henrik HEDMAN;Ben HANLEY;Felix ROSENQVIST;;Oreca 07 - Gibson;D;LMP2;;;Classified;343;24:03'10.915;24 Laps;1 Laps;227;3'30.336;233.3;
16;33;Eurasia Motorsport;Jacques NICOLET;Pierre NICOLET;Erik MARIS;;Ligier JSP217 - Gibson;D;LMP2;;;Classified;341;24:01'16.286;26 Laps;2 Laps;5;3'36.750;226.4;
17;31;Vaillante Rebellion;Nicolas PROST;Julien CANAL;Bruno SENNA;;Oreca 07 - Gibson;D;LMP2;;;Classified;340;24:03'26.270;27 Laps;1 Laps;225;3'29.072;234.7;
18;97;Aston Martin Racing;Darren TURNER;Jonathan ADAM;Daniel SERRA;;Aston Martin Vantage;D;LMGTE Pro;;;Classified;340;24:03'35.578;27 Laps;9.308;224;3'50.950;212.4;
19;67;Ford Chip Ganassi Team UK;Andy PRIAULX;Harry TINCKNELL;Luis Felipe DERANI;;Ford GT;M;LMGTE Pro;;;Classified;340;24:05'08.283;27 Laps;1'32.705;224;3'51.438;212.0;
20;63;Corvette Racing - GM;Jan MAGNUSSEN;Antonio GARCIA;Jordan TAYLOR;;Chevrolet Corvette C7.R;M;LMGTE Pro;;;Classified;340;24:05'11.927;27 Laps;3.644;213;3'51.156;212.3;
21;91;Porsche GT Team;Richard LIETZ;Frédéric MAKOWIECKI;Patrick PILET;;Porsche 911 RSR;M;LMGTE Pro;;;Classified;339;24:02'01.725;28 Laps;1 Laps;241;3'51.549;211.9;
22;71;AF Corse;Davide RIGON;Sam BIRD;Miguel MOLINA;;Ferrari 488 GTE;M;LMGTE Pro;;;Classified;339;24:03'07.323;28 Laps;1'05.598;220;3'51.846;211.6;
23;68;Ford Chip Ganassi Team USA;Joey HAND;Dirk MÜLLER;Tony KANAAN;;Ford GT;M;LMGTE Pro;;;Classified;339;24:04'38.154;28 Laps;1'30.831;256;3'51.640;211.8;
24;69;Ford Chip Ganassi Team USA;Ryan BRISCOE;Richard WESTBROOK;Scott DIXON;;Ford GT;M;LMGTE Pro;;;Classified;337;24:04'03.586;30 Laps;2 Laps;89;3'51.733;211.7;
25;64;Corvette Racing - GM;Oliver GAVIN;Tommy MILNER;Marcel FÄSSLER;;Chevrolet Corvette C7.R;M;LMGTE Pro;;;Classified;335;24:04'22.104;32 Laps;2 Laps;215;3'51.510;211.9;
26;95;Aston Martin Racing;Nicki THIIM;Marco SØRENSEN;Richie STANAWAY;;Aston Martin Vantage;D;LMGTE Pro;;;Classified;334;24:03'37.016;33 Laps;1 Laps;88;3'51.276;212.1;
27;84;JMW Motorsport;Robert SMITH;Will STEVENS;Dries VANTHOOR;;Ferrari 488 GTE;M;LMGTE Am;;;Classified;333;24:04'25.339;34 Laps;1 Laps;124;3'54.461;209.3;
28;66;Ford Chip Ganassi Team UK;Stefan MÜCKE;Olivier PLA;Billy JOHNSON;;Ford GT;M;LMGTE Pro;;;Classified;332;24:04'50.601;35 Laps;1 Laps;30;3'51.828;211.6;
29;55;Spirit of Race;Duncan CAMERON;Aaron SCOTT;Marco CIOCI;;Ferrari 488 GTE;M;LMGTE Am;;;Classified;331;24:01'22.314;36 Laps;1 Laps;214;3'53.944;209.7;
30;62;Scuderia Corsa;Cooper MACNEIL;William SWEEDLER;Townsend BELL;;Ferrari 488 GTE;M;LMGTE Am;;;Classified;331;24:03'50.573;36 Laps;2'28.259;214;3'55.010;208.8;
31;99;Beechdean AMR;Andrew HOWARD;Ross GUNN;Oliver BRYANT;;Aston Martin Vantage;D;LMGTE Am;;;Classified;331;24:05'07.311;36 Laps;1'16.738;191;3'53.797;209.9;
32;61;Clearwater Racing;Weng Sun MOK;Keita SAWA;Matt GRIFFIN;;Ferrari 488 GTE;M;LMGTE Am;;;Classified;330;24:02'35.669;37 Laps;1 Laps;56;3'54.977;208.8;
33;45;Algarve Pro Racing;Mark PATTERSON;Matthew MCMURRY;Vincent CAPILLAIRE;;Ligier JSP217 - Gibson;D;LMP2;;;Classified;330;24:03'25.479;37 Laps;49.810;197;3'32.524;230.9;
34;27;SMP Racing;Mikhail ALESHIN;Sergey SIROTKIN;Victor SHAITAR;;Dallara P217 - Gibson;D;LMP2;;;Classified;330;24:04'41.031;37 Laps;1'15.552;183;3'29.641;234.0;
35;77;Dempsey - Proton Racing;Christian RIED;Matteo CAIROLI;Marvin DIENST;;Porsche 911 RSR 991;D;LMGTE Am;;;Classified;329;24:01'25.672;38 Laps;1 Laps;213;3'55.191;208.6;
36;90;TF Sport;Salih YOLUC;Euan HANKEY;Rob BELL;;Aston Martin Vantage;D;LMGTE Am;;;Classified;329;24:02'03.845;38 Laps;38.173;211;3'53.320;210.3;
37;98;Aston Martin Racing;Paul DALLA LANA;Pedro LAMY;Mathias LAUDA;;Aston Martin Vantage;D;LMGTE Am;;;Classified;329;24:02'40.459;38 Laps;36.614;250;3'53.684;210.0;
